userID,itemID,rating
user_1,book_1,1
user_1,book_2,5
user_1,book_3,1
user_1,book_4,5
user_1,book_5,2
user_1,book_6,4
user_1,book_7,1
user_1,book_8,5
user_1,book_9,5
user_1,book_10,5
user_1,book_11,5
user_1,book_12,5
user_1,book_13,2
user_1,book_14,3
user_1,book_15,1
user_1,book_16,4
user_1,book_17,4
user_1,book_18,2
user_1,book_19,1
user_1,book_20,2
user_1,book_21,4
user_1,book_22,2
user_1,book_23,5
user_1,book_24,1
user_1,book_25,3
user_1,book_26,4
user_1,book_27,4
user_1,book_28,5
user_1,book_29,3
user_1,book_30,4
user_1,book_31,2
user_1,book_32,5
user_1,book_33,4
user_1,book_34,4
user_1,book_35,3
user_1,book_36,4
user_1,book_37,3
user_1,book_38,2
user_1,book_39,5
user_1,book_40,4
user_1,book_41,4
user_1,book_42,1
user_1,book_43,2
user_1,book_44,2
user_1,book_45,3
user_1,book_46,4
user_1,book_47,1
user_1,book_48,3
user_1,book_49,4
user_1,book_50,1
user_1,book_51,2
user_1,book_52,1
user_1,book_53,4
user_1,book_54,1
user_1,book_55,2
user_1,book_56,1
user_1,book_57,5
user_1,book_58,4
user_1,book_59,3
user_1,book_60,5
user_1,book_61,1
user_1,book_62,4
user_1,book_63,3
user_1,book_64,5
user_1,book_65,5
user_1,book_66,1
user_1,book_67,4
user_1,book_68,4
user_1,book_69,3
user_1,book_70,4
user_1,book_71,5
user_1,book_72,3
user_1,book_73,5
user_1,book_74,3
user_1,book_75,1
user_1,book_76,5
user_1,book_77,1
user_1,book_78,4
user_1,book_79,5
user_1,book_80,5
user_1,book_81,5
user_1,book_82,2
user_1,book_83,5
user_1,book_84,3
user_1,book_85,1
user_1,book_86,2
user_1,book_87,5
user_1,book_88,3
user_1,book_89,4
user_1,book_90,5
user_1,book_91,4
user_1,book_92,2
user_1,book_93,4
user_1,book_94,3
user_1,book_95,1
user_1,book_96,5
user_1,book_97,4
user_1,book_98,4
user_1,book_99,3
user_1,book_100,5
user_1,book_101,4
user_1,book_102,4
user_1,book_103,5
user_1,book_104,2
user_1,book_105,3
user_1,book_106,2
user_1,book_107,5
user_1,book_108,5
user_1,book_109,5
user_1,book_110,4
user_1,book_111,5
user_1,book_112,3
user_1,book_113,1
user_1,book_114,3
user_1,book_115,5
user_1,book_116,2
user_1,book_117,4
user_1,book_118,2
user_1,book_119,2
user_1,book_120,3
user_1,book_121,2
user_1,book_122,3
user_1,book_123,1
user_1,book_124,4
user_1,book_125,1
user_1,book_126,1
user_1,book_127,2
user_1,book_128,3
user_1,book_129,4
user_1,book_130,1
user_1,book_131,2
user_1,book_132,3
user_1,book_133,2
user_1,book_134,2
